race_no,official_time,time_sec
5,02:12:45,7965
1,02:13:32,8012
6,02:14:02,8042
11,02:14:05,8045
14,02:15:45,8145
3,02:16:43,8203
9,02:16:52,8212
17,02:18:05,8285
7,02:18:46,8326
43,02:21:37,8497
16,02:22:02,8522
4,02:22:21,8541
21,02:22:22,8542
15,02:24:44,8684
27,02:24:46,8686
19,02:24:54,8694
79,02:24:55,8695
30,02:25:31,8731
23,02:26:24,8784
12,02:27:02,8822
38,02:27:07,8827
75,02:27:41,8861
103,02:27:48,8868
104,02:27:53,8873
976,02:28:14,8894
119,02:28:26,8906
24,02:28:53,8933
177,02:29:09,8949
F6,02:29:19,8959
31,02:29:23,8963
249,02:29:32,8972
121,02:29:51,8991
F4,02:30:03,9003
1221,02:30:22,9022
152,02:30:27,9027
F11,02:30:50,9050
84,02:30:57,9057
277,02:31:14,9074
217,02:31:16,9076
122,02:31:24,9084
78,02:31:39,9099
820,02:31:47,9107
271,02:32:00,9120
F9,02:32:28,9148
114,02:32:37,9157
102,02:32:44,9164
41,02:32:45,9165
289,02:33:03,9183
F10,02:33:13,9193
200,02:33:19,9199
266,02:33:23,9203
153,02:33:35,9215
F7,02:33:40,9220
228,02:33:46,9226
196,02:33:50,9230
F3,02:33:56,9236
76,02:34:02,9242
124,02:34:12,9252
742,02:34:15,9255
28,02:34:17,9257
117,02:34:19,9259
247,02:34:20,9260
77,02:34:30,9270
306,02:34:35,9275
F15,02:34:38,9278
142,02:34:41,9281
225,02:34:43,9283
986,02:34:55,9295
F18,02:35:00,9300
280,02:35:00,9300
150,02:35:16,9316
194,02:35:24,9324
139,02:35:40,9340
219,02:35:48,9348
195,02:35:50,9350
86,02:36:02,9362
116,02:36:04,9364
132,02:36:08,9368
288,02:36:10,9370
452,02:36:11,9371
229,02:36:12,9372
516,02:36:18,9378
182,02:36:21,9381
154,02:36:31,9391
133,02:36:54,9414
267,02:36:58,9418
211,02:37:01,9421
221,02:37:10,9430
1333,02:37:11,9431
171,02:37:23,9443
210,02:37:23,9443
201,02:37:26,9446
461,02:37:30,9450
F5,02:37:31,9451
40,02:37:33,9453
216,02:37:35,9455
F17,02:37:36,9456
422,02:37:36,9456
82,02:37:36,9456
468,02:37:46,9466
155,02:37:50,9470
238,02:37:56,9476
796,02:37:56,9476
105,02:38:02,9482
278,02:38:16,9496
1286,02:38:17,9497
199,02:38:18,9498
187,02:38:22,9502
160,02:38:23,9503
550,02:38:23,9503
2522,02:38:27,9507
485,02:38:30,9510
1155,02:38:30,9510
322,02:38:45,9525
989,02:38:51,9531
235,02:38:51,9531
236,02:39:00,9540
166,02:39:04,9544
838,02:39:04,9544
106,02:39:14,9554
36,02:39:14,9554
2864,02:39:19,9559
F20,02:39:21,9561
429,02:39:28,9568
5027,02:39:33,9573
F14,02:39:38,9578
161,02:39:41,9581
857,02:39:42,9582
646,02:39:44,9584
297,02:39:47,9587
291,02:39:48,9588
647,02:39:52,9592
434,02:39:52,9592
547,02:39:55,9595
83,02:39:55,9595
130,02:40:02,9602
600,02:40:19,9619
272,02:40:19,9619
530,02:40:31,9631
924,02:40:34,9634
147,02:40:41,9641
369,02:40:47,9647
583,02:40:50,9650
338,02:40:52,9652
598,02:40:54,9654
498,02:40:54,9654
6065,02:41:00,9660
251,02:41:00,9660
685,02:41:02,9662
4437,02:41:06,9666
701,02:41:07,9667
921,02:41:08,9668
378,02:41:08,9668
333,02:41:09,9669
239,02:41:16,9676
197,02:41:17,9677
222,02:41:28,9688
215,02:41:32,9692
817,02:41:40,9700
1097,02:41:41,9701
149,02:41:44,9704
189,02:41:51,9711
265,02:41:54,9714
408,02:42:00,9720
233,02:42:00,9720
375,02:42:00,9720
423,02:42:01,9721
252,02:42:02,9722
763,02:42:03,9723
1267,02:42:07,9727
492,02:42:08,9728
517,02:42:10,9730
129,02:42:13,9733
332,02:42:17,9737
370,02:42:17,9737
1649,02:42:18,9738
457,02:42:20,9740
372,02:42:23,9743
450,02:42:24,9744
413,02:42:25,9745
283,02:42:27,9747
1257,02:42:28,9748
1823,02:42:29,9749
1041,02:42:31,9751
1858,02:42:33,9753
270,02:42:34,9754
256,02:42:35,9755
F2,02:42:38,9758
727,02:42:38,9758
493,02:42:40,9760
473,02:42:46,9766
1751,02:42:46,9766
313,02:42:46,9766
722,02:42:48,9768
709,02:42:50,9770
904,02:42:55,9775
887,02:42:57,9777
315,02:43:01,9781
1164,02:43:02,9782
361,02:43:06,9786
653,02:43:08,9788
1101,02:43:09,9789
978,02:43:11,9791
1839,02:43:13,9793
640,02:43:13,9793
660,02:43:14,9794
937,02:43:15,9795
459,02:43:17,9797
588,02:43:19,9799
1013,02:43:19,9799
508,02:43:21,9801
335,02:43:22,9802
463,02:43:26,9806
764,02:43:30,9810
1442,02:43:33,9813
555,02:43:33,9813
352,02:43:34,9814
798,02:43:35,9815
1662,02:43:35,9815
1522,02:43:37,9817
125,02:43:38,9818
1153,02:43:40,9820
183,02:43:45,9825
648,02:43:49,9829
2835,02:43:51,9831
445,02:43:53,9833
397,02:43:55,9835
350,02:43:55,9835
1415,02:43:55,9835
4866,02:43:55,9835
552,02:43:56,9836
979,02:44:00,9840
453,02:44:00,9840
663,02:44:02,9842
433,02:44:02,9842
346,02:44:07,9847
2283,02:44:07,9847
376,02:44:08,9848
1317,02:44:09,9849
2987,02:44:11,9851
320,02:44:16,9856
1093,02:44:17,9857
274,02:44:17,9857
156,02:44:18,9858
8575,02:44:18,9858
137,02:44:20,9860
F8,02:44:20,9860
614,02:44:28,9868
907,02:44:32,9872
1089,02:44:32,9872
394,02:44:33,9873
699,02:44:33,9873
364,02:44:34,9874
337,02:44:35,9875
1540,02:44:35,9875
148,02:44:38,9878
414,02:44:47,9887
791,02:44:48,9888
852,02:44:59,9899
964,02:45:01,9901
667,02:45:03,9903
391,02:45:09,9909
134,02:45:12,9912
759,02:45:12,9912
209,02:45:13,9913
581,02:45:14,9914
170,02:45:15,9915
867,02:45:16,9916
451,02:45:16,9916
F12,02:45:17,9917
296,02:45:18,9918
F22,02:45:19,9919
1792,02:45:20,9920
589,02:45:22,9922
368,02:45:22,9922
1494,02:45:23,9923
1256,02:45:24,9924
331,02:45:24,9924
410,02:45:27,9927
490,02:45:28,9928
380,02:45:28,9928
674,02:45:29,9929
1658,02:45:29,9929
118,02:45:31,9931
220,02:45:35,9935
806,02:45:47,9947
896,02:45:47,9947
559,02:45:51,9951
629,02:45:53,9953
302,02:45:55,9955
3406,02:45:55,9955
1989,02:45:55,9955
173,02:45:56,9956
1430,02:45:57,9957
693,02:45:58,9958
637,02:45:59,9959
606,02:46:00,9960
207,02:46:01,9961
232,02:46:03,9963
724,02:46:06,9966
1198,02:46:07,9967
544,02:46:08,9968
456,02:46:10,9970
512,02:46:12,9972
1135,02:46:14,9974
714,02:46:14,9974
1349,02:46:18,9978
1310,02:46:20,9980
466,02:46:22,9982
726,02:46:29,9989
644,02:46:30,9990
1644,02:46:30,9990
2483,02:46:32,9992
415,02:46:32,9992
829,02:46:32,9992
1046,02:46:34,9994
946,02:46:37,9997
2301,02:46:38,9998
920,02:46:41,10001
1670,02:46:42,10002
1090,02:46:42,10002
565,02:46:46,10006
115,02:46:47,10007
446,02:46:48,10008
613,02:46:54,10014
1493,02:46:57,10017
151,02:46:57,10017
755,02:46:58,10018
918,02:46:58,10018
482,02:46:59,10019
2115,02:46:59,10019
193,02:47:01,10021
540,02:47:02,10022
164,02:47:03,10023
2275,02:47:04,10024
427,02:47:06,10026
1115,02:47:07,10027
854,02:47:07,10027
250,02:47:09,10029
488,02:47:11,10031
728,02:47:12,10032
615,02:47:13,10033
772,02:47:15,10035
295,02:47:16,10036
800,02:47:19,10039
1044,02:47:20,10040
974,02:47:20,10040
651,02:47:23,10043
1611,02:47:25,10045
1716,02:47:25,10045
1017,02:47:25,10045
