race_no,official_time,time_sec
21080,02:12:12,7932
14,02:12:14,7934
2,02:12:20,7940
21077,02:12:29,7949
18,02:12:47,7967
21,02:13:02,7982
21078,02:13:20,8000
21090,02:17:27,8247
21084,02:17:39,8259
12,02:19:27,8367
13,02:24:24,8664
21076,02:24:47,8687
21091,02:27:22,8842
20947,02:31:32,9092
24419,02:36:03,9363
24514,02:36:49,9409
64,02:36:51,9411
77,02:36:53,9413
76,02:37:28,9448
20940,02:37:33,9453
73,02:38:01,9481
66,02:38:19,9499
f10,02:38:31,9511
30205,02:38:38,9518
30249,02:39:09,9549
24229,02:39:49,9589
30254,02:40:04,9604
21093,02:40:28,9628
30259,02:40:44,9644
20855,02:40:54,9654
20910,02:41:10,9670
30255,02:41:26,9686
27630,02:44:32,9872
20917,02:45:09,9909
27810,02:45:18,9918
20087,02:45:27,9927
26137,02:46:31,9991
28430,02:47:20,10040
20960,02:47:38,10058
20091,02:48:08,10088
20869,02:49:35,10175
23202,02:49:53,10193
20065,02:51:09,10269
24592,02:51:29,10289
27851,02:51:54,10314
20264,02:52:17,10337
26069,02:52:21,10341
24354,02:52:22,10342
20959,02:52:26,10346
20102,02:52:33,10353
27218,02:52:34,10354
20058,02:53:05,10385
20029,02:53:23,10403
24683,02:53:30,10410
20840,02:53:35,10415
23181,02:53:39,10419
23206,02:53:45,10425
20899,02:53:56,10436
21046,02:53:59,10439
24428,02:54:05,10445
21004,02:54:14,10454
20120,02:54:43,10483
28203,02:54:52,10492
24192,02:54:58,10498
24655,02:54:59,10499
20908,02:55:01,10501
20914,02:55:05,10505
20111,02:55:12,10512
24452,02:55:14,10514
20001,02:55:17,10517
20035,02:55:23,10523
30256,02:55:26,10526
24590,02:55:41,10541
24434,02:55:53,10553
28308,02:55:54,10554
26076,02:56:15,10575
24251,02:56:23,10583
21009,02:56:43,10603
24570,02:57:06,10626
20863,02:57:33,10653
20879,02:57:50,10670
20859,02:57:55,10675
20957,02:58:15,10695
20880,02:58:20,10700
24415,02:58:20,10700
27824,02:58:22,10702
24206,02:58:23,10703
20838,02:58:27,10707
24457,02:58:32,10712
24553,02:58:34,10714
20096,02:58:34,10714
24766,02:58:46,10726
23143,02:58:49,10729
24450,02:58:53,10733
26089,02:58:54,10734
24402,02:58:56,10736
23188,02:59:02,10742
20993,02:59:03,10743
23040,02:59:05,10745
23193,02:59:06,10746
24684,02:59:08,10748
20056,02:59:13,10753
20057,02:59:13,10753
23199,02:59:15,10755
24449,02:59:17,10757
24377,02:59:22,10762
23931,02:59:29,10769
24602,02:59:37,10777
23041,02:59:45,10785
28255,02:59:51,10791
20989,02:59:53,10793
20919,02:59:55,10795
23707,02:59:56,10796
24336,02:59:57,10797
20063,03:00:25,10825
30242,03:00:26,10826
72,03:00:39,10839
20018,03:00:47,10847
23052,03:00:54,10854
24792,03:00:54,10854
24886,03:01:05,10865
23037,03:01:09,10869
27468,03:01:09,10869
23049,03:01:23,10883
23117,03:01:34,10894
23101,03:01:38,10898
23697,03:01:49,10909
24838,03:01:53,10913
24465,03:01:56,10916
24360,03:02:06,10926
